,m_address,m_coordinates,m_operating_mode,m_tariff_id,m_pole_id,m_meter_phase,m_id,m_serial,m_tariff.name,m_tariff.electricity_rate_type,m_tariff.block_rate,m_tariff.rate_amount.value,m_tariff.rate_amount.numerator,m_tariff.rate_amount.denominator,m_tariff.time_of_use,m_tariff.load_limit_type,m_tariff.load_limit.value,m_tariff.load_limit.unit,m_tariff.plan_type,m_tariff.low_balance_threshold.amount,m_tariff.low_balance_threshold.currency,m_tariff.inrush_current_protection_disabled,m_tariff.block_rate_cycle_reset_energy,m_tariff.last_block_rate_cycle_reset_at,m_tariff.daily_energy_limit,m_tariff.daily_energy_limit_unit,id
147,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,LVZ129,,5dc9bfd2-d892-4103-8703-2cf3a75319b7,SMRSDRF-02-000881C1,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,7e62ead4-2711-47fb-a6e6-1fc0e48a0f06
148,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,ffee322c-4eb1-4317-a6a3-71adbcaef23f,SMRSDRF-02-0008818E,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,a280454a-915d-47d2-8cae-61d7366c7a82
149,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,,,f0ead696-0aae-4ced-a625-4848a717dff1,SMRSDRF-02-0008816B,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,c789c982-dade-4e4f-ae0d-69052d10d098
150,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,LVZ287,,a037dc05-f011-429f-8f79-f0e6e3d8b91d,SMRSDRF-02-00088166,Basic HH Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,6b25321c-08fa-4a98-bcb6-9f6507009396
151,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,a3d3f6b0-ea86-4694-be7b-aa3a77fc643c,SMRSDRF-02-00088134,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,c174f538-f660-46c2-9da9-3967fd3852da
152,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,d855e0d9-a57b-41c2-a513-7be7537902b0,SMRSDRF-02-00088173,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,37c85d98-9064-4963-9143-32b2f2c15cf5
153,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,2313fd61-1982-4488-9f33-0437768c3ae0,SMRSDRF-02-00088177,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,bbd89e6b-09a1-47e2-be45-57decc0eb01e
154,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,a0812031-8cad-42f8-b347-c544aa092321,SMRSDRF-02-0008816E,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,8bb52c30-ab0d-44e5-a3aa-a62d5bc4613b
155,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,LVZ177,,a33219d3-5e51-4ce9-8f59-63c2d36a3475,SMRSDRF-02-0008816A,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,92722a88-f793-45c9-8d03-a6d5d05aa337
156,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,0975e5ac-aaca-48cd-b676-3b342f09b148,SMRSDRF-02-0008816F,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,944fd02c-ea25-4add-8785-a36a62bef4c8
