,m_address,m_coordinates,m_operating_mode,m_tariff_id,m_pole_id,m_meter_phase,m_id,m_serial,m_tariff.name,m_tariff.electricity_rate_type,m_tariff.block_rate,m_tariff.rate_amount.value,m_tariff.rate_amount.numerator,m_tariff.rate_amount.denominator,m_tariff.time_of_use,m_tariff.load_limit_type,m_tariff.load_limit.value,m_tariff.load_limit.unit,m_tariff.plan_type,m_tariff.low_balance_threshold.amount,m_tariff.low_balance_threshold.currency,m_tariff.inrush_current_protection_disabled,m_tariff.block_rate_cycle_reset_energy,m_tariff.last_block_rate_cycle_reset_at,m_tariff.daily_energy_limit,m_tariff.daily_energy_limit_unit,id
317,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,LVZ128,,c0f1c21e-0ddf-4fdf-9a75-2ac0defd40b8,SMRSDRF-02-00087F97,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,2a047f38-dd71-497a-9929-b64dbe801a70
318,,,auto,81ec6fa4-ad87-4f3e-b1c5-0fcb607319c0,,,f0be09e3-e0a6-465c-b699-fd49f777e02f,SMRSDRF-02-00088267,Small Business Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,13000,Watts,,0,ETB,False,,,,kWh,102ceb24-afef-4f98-9147-ad62eccb7837
319,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,2fbe6d53-46d4-4416-9adf-846da0c637c1,SMRSDRF-02-00088600,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,f84140aa-10b8-45b8-97bd-9b4e04adfa87
320,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,078b3039-7992-41aa-92ac-dba5a443a60b,SMRSDRF-02-00087FAF,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,213b2140-15b6-4620-b94b-04f2c8daf2ce
321,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,7c842bd3-dab4-4470-bf9b-940faaca62c3,SMRSDRF-02-000880BE,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,5f30d054-2aeb-42cd-bfb3-a338a51cc13b
322,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,5ca6b764-4757-417f-bf82-289434f0f60d,SMRSDRF-02-000880C7,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,c7030b6d-2333-4125-a861-6fd6a8f77162
323,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,LVZ123,,45970adb-d9e6-4d56-aa5b-ef350c3fad3d,SMRSDRF-02-000885F8,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,0e07d13b-7482-4207-870a-ebb42ae971c5
324,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,LVZ124,,0aa00850-ee58-4a06-9238-499e97115e8a,SMRSDRF-02-000880D6,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,843cd40c-ee86-49e8-bd22-1240d39b0957
325,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,LVZ124,,e2241fbb-4932-49aa-8ace-c0f43228b049,SMRSDRF-02-000880DD,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,2e67d6ba-6616-48da-b159-c521f50e1189
326,,,auto,66b66b15-6217-4519-9722-3e6a51a239d6,,,599d4c7f-a3ca-4c0b-83f4-5eead4cc830c,SMRSDRF-02-000880D5,Small Business Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,10000,Watts,,0,ETB,False,,,,kWh,d203ef17-64b7-4527-8ea9-449cce2bf7f8
327,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,458c3ce4-3015-48a7-8421-a97565fbfdef,SMRSDRF-02-000885E7,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,4ddf403f-cf0e-4b10-807d-cc7a730670d7
328,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,LVZ124,,283e5758-4d12-4b0a-8f89-35b3a6ada4d2,SMRSDRF-02-000880CC,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,af8160d6-3dc2-4b64-8255-1d363edcd96a
329,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,a568b1b7-5e76-448a-90d8-dbd89c318c7d,SMRSDRF-02-00088616,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,64f61ed6-b45d-46db-b379-de829e03917f
330,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,LVZ122,,339612b3-8a89-440b-b819-f4e98cdc35da,SMRSDRF-02-00088614,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,cfbe2f38-20a1-4f4f-95bb-db6b185348db
331,,,auto,66b66b15-6217-4519-9722-3e6a51a239d6,,,16540892-55e2-4932-b3a0-734df0222741,SMRSDRF-02-00088623,Small Business Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,10000,Watts,,0,ETB,False,,,,kWh,7b4c2a51-84d1-4979-95b1-f080b87c54f9
332,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,LVZ135,,fdea2d14-49a7-4116-bf7c-3def4806ff5a,SMRSDRF-02-00088609,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,e4a399a6-0401-48e1-8852-4b4de0985bf3
